exp;congruent;noiseLevel;correct;RT
1;0;0;1;1.830769062
1;0;0.15;1;1.2617490292
1;0;0.1;1;0.0568840504
1;1;0.1;0;0.3385813236
1;1;0.05;1;1.3187870979
1;1;0.05;0;1.3121225834
1;1;0.05;1;1.0843379498
1;0;0.15;1;1.4265062809
1;0;0.15;1;1.3500030041
1;0;0;1;2.4163646698
1;1;0.15;1;1.1915969849
1;0;0.15;1;1.3290729523
1;1;0.1;1;1.1504848003
1;1;0.05;1;1.2386779785
1;0;0.1;1;1.9120538235
1;0;0.1;0;1.1703178883
1;1;0.15;0;0.8419439793
1;0;0.1;1;1.0208556652
1;0;0;1;0.9408686161
1;1;0;0;2.6516489983
1;1;0.1;1;1.4256629944
1;1;0.05;0;1.2322678566
1;0;0.05;1;1.9182620049
1;1;0.05;1;1.0768017769
1;1;0;0;1.113451004
1;1;0.1;1;0.8681519032
1;0;0.15;1;2.3352770805
1;1;0.15;1;0.6740269661
1;0;0;1;1.0257158279
1;0;0.15;1;1.3764278889
1;0;0.15;1;1.3479142189
1;0;0;1;0.7768199444
1;1;0.05;1;1.3321075439
1;1;0;1;0.7252612114
1;0;0.05;1;1.385188818
1;1;0;1;1.2524158955
1;0;0.1;1;0.9038779736
1;0;0;1;1.7364168167
1;1;0.05;1;0.9203851223
1;1;0.1;1;0.7527308464
2;0;0.05;1;1.4097149372
2;0;0.15;1;1.1638936996
2;1;0.05;1;0.9840970039
2;0;0.1;0;0.9340753555
2;1;0;1;0.7322022915
2;0;0.15;1;0.8779098988
2;0;0;1;1.4886057377
2;1;0.05;1;1.6876392365
2;1;0.05;1;0.6945881844
2;0;0.15;1;1.3952429295
2;1;0;1;1.1557998657
2;1;0.1;1;0.7212262154
2;1;0;0;0.8454868793
2;1;0.05;1;0.6836891174
2;0;0;1;0.8936171532
2;1;0.05;1;0.6395859718
2;1;0.05;0;0.8665039539
2;0;0;1;0.7142655849
2;0;0.15;1;0.8294210434
2;0;0;1;0.7750360966
2;1;0.05;1;0.7924432755
2;1;0.1;1;0.9918892384
2;1;0.1;1;0.7206747532
2;0;0.1;1;1.0029170513
2;1;0.1;1;1.4703760147
2;0;0.15;1;1.1687612534
2;1;0.1;1;1.0397601128
2;1;0;1;1.413236618
2;0;0.1;1;0.9634389877
2;1;0.15;1;0.587788105
2;0;0.15;1;0.9959638119
2;0;0.05;1;1.3205139637
2;1;0.15;1;1.073045969
2;0;0;1;0.9125566483
2;0;0.15;1;1.3083322048
2;0;0.1;1;2.5741019249
2;1;0.05;1;1.3134460449
2;0;0.1;1;1.0823390484
2;1;0.15;1;0.6980948448
2;0;0;1;0.685685873
3;1;0.05;0;2.9166572094
3;1;0.1;1;2.716657877
3;1;0.1;1;3.2999887466
3;1;0.05;0;7.4833090305
3;1;0.15;0;2.9833235741
3;1;0.15;0;4.2666528225
3;1;0;0;2.8333244324
3;1;0.1;1;3.4166560173
3;1;0.05;0;2.5333254337
3;1;0.15;1;3.9666535854
3;1;0.05;1;2.4499914646
3;1;0.05;0;3.3499891758
3;1;0.05;1;2.6666581631
3;1;0.05;1;2.8666584492
3;1;0.1;1;2.5499918461
3;1;0;1;2.8999905586
3;1;0.05;1;3.0166566372
3;1;0.1;1;2.56665802
3;1;0;1;2.7333250046
3;1;0;1;4.5166528225
4;2;0;0.6667;8.8666381836
4;2;0;0.4;14.9166195393
4;2;0;1;5.9833140373
4;2;0;0.3333333333;4.9499855042
4;2;0;1;5.6666486263
4;2;0;0.5;9.5833034515
4;2;0;0.4;5.966647625
4;2;0;1;8.4333064556
4;2;0;0.3333333333;11.6332967281
4;2;0;0.5;8.7166404724
4;2;0;0.25;2.2166600227
4;2;0;0.4;5.2833175659
4;2;0;0.25;14.883286953
4;2;0;0.6666666667;5.3833169937
4;2;0;0.4;2.3999931812
4;2;0;0.25;2.6333255768
4;2;0;0.2857;10.349968195
4;2;0;0.25;3.3166558743
4;2;0;0.2857;1.8999934196
4;2;0;0.5;10.5499665737
