exp,congruent,noiseLevel,correct,RT
1,1,0.1,1,0.9894862175
1,0,0.15,1,1.2489607334
1,1,0.05,1,0.8102917671
1,1,0.05,1,1.5521988869
1,0,0.15,1,1.1875739098
1,0,0.15,1,1.7573521137
1,1,0,1,1.4385380745
1,1,0.05,1,2.9818103313
1,1,0.1,1,0.9621231556
1,1,0.15,0,1.5803627968
1,1,0.15,1,0.7279410362
1,0,0,1,0.9361414909
1,0,0,1,1.1258533001
1,1,0.15,0,2.3706436157
1,1,0.1,1,1.6546471119
1,0,0.05,1,1.6414749622
1,1,0,1,0.8140704632
1,0,0.1,1,0.9605176449
1,1,0,1,1.0175859928
1,1,0,1,1.4070417881
1,1,0.05,1,1.602052927
1,0,0.1,1,1.1276323795
1,0,0.05,1,1.1158719063
1,1,0,1,0.722910881
1,0,0.1,1,0.9857821465
1,1,0.1,1,1.0364217758
1,0,0.05,1,1.0875768661
1,0,0.15,1,1.8015480042
1,0,0,1,1.0038628578
1,0,0.15,1,1.0329108238
1,0,0.05,1,0.912484169
1,0,0.15,1,0.7108099461
1,1,0.1,1,1.6610412598
1,0,0.15,1,0.8470542431
1,1,0.1,1,0.908839941
1,0,0.05,1,1.7472016811
1,0,0,1,0.817565918
1,0,0,1,0.8234741688
1,1,0.1,1,0.7989182472
1,0,0.05,1,0.8873140812
2,0,0,1,2.7852916718
2,0,0.05,1,0.8267152309
2,1,0,1,1.8890969753
2,0,0.05,1,0.6250588894
2,1,0.15,0,3.0030770302
2,1,0.1,1,0.7888338566
2,0,0.05,1,0.6721076965
2,0,0,1,0.9504461288
2,1,0,1,0.624368906
2,0,0.15,1,0.6518440247
2,0,0.15,1,0.7395267487
2,1,0.05,1,1.0363748074
2,1,0.1,1,0.8321285248
2,1,0.1,1,0.6659469604
2,0,0.1,1,1.0807340145
2,0,0.1,1,0.7822172642
2,0,0.05,1,0.8395946026
2,0,0,1,0.674230814
2,0,0.05,1,1.9809892178
2,1,0.1,1,0.6656279564
2,0,0.15,1,2.7698919773
2,1,0.1,1,0.6953001022
2,1,0.05,1,0.854511261
2,0,0.15,1,0.7169661522
2,1,0.15,0,1.8272781372
2,1,0.05,1,0.5936670303
2,1,0,1,0.8268759251
2,1,0,1,0.539331913
2,1,0.1,1,1.2577311993
2,0,0.1,1,0.9113078117
2,0,0,1,0.92847085
2,1,0.05,1,0.9786219597
2,0,0.15,1,0.9613323212
2,0,0.05,1,0.7960548401
2,0,0,1,0.7908599377
2,1,0,1,0.5754580498
2,0,0.15,1,0.736746788
2,1,0.1,1,0.9517090321
2,0,0.15,1,0.7838635445
2,1,0.15,0,1.2288880348
3,1,0.1,1,3.1666557789
3,1,0.1,0,3.5999882221
3,1,0.1,1,4.3833181858
3,1,0,1,3.0166561604
3,1,0.15,0,3.3666546345
3,1,0.1,1,3.0666558743
3,1,0,1,5.2833147049
3,1,0.1,0,2.9499900341
3,1,0.05,0,4.4666509628
3,1,0.05,1,2.883323431
3,1,0,1,2.1499919891
3,1,0,1,2.6666579247
3,1,0.15,0,4.8166503906
3,1,0.1,1,3.2833220959
3,1,0.1,1,3.2666549683
3,1,0.15,0,3.0833218098
3,1,0,1,2.6333239079
3,1,0.05,1,3.2999873161
3,1,0.05,1,4.0666532516
4,2,0,0.5,18.1499376297
4,2,0,0.4,11.5999605656
4,2,0,0.6666666667,12.2666251659
4,2,0,0.3333333333,9.9666326046
4,2,0,1,3.6666548252
4,2,0,0.6666666667,4.9999835491
4,2,0,0.2857142857,14.1666193008
4,2,0,0.6666666667,1.8833272457
4,2,0,0.5,5.3833150864
4,2,0,0.2857142857,12.7332909107
4,2,0,0.6667,2.5166578293
4,2,0,0.6666666667,7.9833061695
4,2,0,0.2857142857,3.0166573524
4,2,0,0.6666666667,5.0833170414
4,2,0,0.5,9.1499686241
4,2,0,0.6666666667,5.5333139896
4,2,0,1,1.5833284855
4,2,0,0.25,9.5999684334
4,2,0,0.25,10.4166309834
4,2,0,1,3.483320713
