exp,congruent,noiseLevel,correct,RT
1,0,0.15,1,1.01335620880127
1,1,0.1,1,1.47188234329224
1,1,0.1,0,1.01601362228394
1,1,0.1,0,0.607789993286133
1,1,0.15,0,0.332846164703369
1,1,0.1,1,0.588093042373657
1,0,0.05,1,0.552917957305908
1,1,0.15,1,0.588885068893433
1,0,0.15,0,1.11331295967102
1,0,0,1,0.743680000305176
1,1,0.1,0,0.908726930618286
1,0,0.15,1,0.823187828063965
1,0,0.1,1,0.611974477767944
1,0,0.05,1,0.627146244049072
1,1,0.15,0,0.898869276046753
1,0,0.1,1,0.744257926940918
1,1,0.15,1,0.713506460189819
1,0,0,1,0.74625825881958
1,0,0.05,1,0.587448120117188
1,1,0.05,1,0.712262392044067
1,1,0,1,0.753743648529053
1,0,0,1,0.583337306976318
1,1,0.05,0,1.01833915710449
1,0,0,1,0.509777069091797
1,1,0,1,0.757522583007812
1,1,0,1,0.916585683822632
1,1,0,1,0.539904594421387
1,0,0.1,1,0.698102474212646
1,0,0.1,1,0.843108415603638
1,0,0.05,1,0.492490768432617
1,1,0.05,0,0.641173124313354
1,1,0.15,1,1.08646035194397
1,1,0.1,1,0.579981327056885
1,1,0.15,0,0.639951229095459
1,1,0.05,1,0.635839939117432
1,1,0.15,0,0.69737434387207
1,0,0.05,1,0.698138952255249
1,0,0,1,0.707821369171143
1,1,0,1,0.899624109268188
1,0,0.05,1,0.792020320892334
2,0,0.1,1,0.746843338012695
2,1,0.1,1,0.902775287628174
2,0,0,1,0.617786169052124
2,0,0.1,1,0.574682950973511
2,0,0.15,1,0.56687593460083
2,1,0.05,1,0.586243391036987
2,1,0.1,1,1.10155034065247
2,1,0,1,0.522601366043091
2,0,0,1,0.652722120285034
2,1,0,1,0.491843223571777
2,0,0.15,1,0.552205324172974
2,1,0.15,0,0.847234487533569
2,1,0.15,1,0.72486138343811
2,0,0.1,1,0.845472812652588
2,0,0,1,0.659509420394897
2,1,0.1,1,0.825545787811279
2,1,0.1,0,0.861851215362549
2,1,0,1,0.600672006607056
2,1,0.15,1,1.12944936752319
2,1,0.15,0,1.00198459625244
2,1,0.15,1,0.724179983139038
2,1,0,1,0.834947347640991
2,1,0.05,1,0.819301128387451
2,1,0,1,0.530773401260376
2,0,0.05,1,0.529612064361572
2,0,0.05,0,0.847201824188232
2,0,0.05,1,0.491865873336792
2,1,0.1,1,0.650709629058838
2,0,0,1,0.491456508636475
2,0,0,1,0.659667015075684
2,1,0.1,1,0.733548402786255
2,1,0.15,1,0.93642520904541
2,0,0.05,1,0.621828079223633
2,1,0.05,1,0.606378316879272
2,1,0.05,1,0.662078142166138
2,1,0.15,1,0.995759963989258
2,0,0.15,1,0.869087219238281
2,0,0.05,1,0.932666540145874
2,0,0.05,1,0.52003812789917
2,0,0.1,1,0.514330148696899
3,1,0.15,0,2.1167106628418
3,1,0,1,1.76670241355896
3,1,0.05,1,2.1333749294281
3,1,0.05,1,2.03337168693542
3,1,0,1,0.85001540184021
3,1,0.15,1,2.00003695487976
3,1,0.1,1,1.21668767929077
3,1,0.15,0,3.18338918685913
3,1,0,1,4.25007128715515
3,1,0.15,0,1.91669797897339
3,1,0.1,0,2.18336701393127
3,1,0.15,1,1.266685962677
3,1,0,1,1.98336291313171
3,1,0.15,0,3.60005259513855
3,1,0.1,1,3.66671705245972
3,1,0,0,5.73340940475464
3,1,0.1,0,1.6833553314209
3,1,0.05,1,2.91670274734497
3,1,0.05,1,1.55001902580261
3,1,0.1,0,4.59989929199219
3,1,0.15,0,1.6332893371582
3,1,0.1,1,2.51659965515137
4,2,0,0.285714285714286,6.88315176963806
4,2,0,0.25,8.71643996238708
4,2,0,1,2.9499237537384
4,2,0,0.4,3.11658716201782
4,2,0,1,1.11663818359375
4,2,0,0.5,3.79990410804749
4,2,0,0.222222222222222,8.21646070480347
4,2,0,0.4,7.81647396087646
4,2,0,0.333333333333333,3.86657285690308
4,2,0,0.25,5.79985976219177
4,2,0,0.4,4.54989242553711
4,2,0,0.222222222222222,6.33318424224854
4,2,0,0.285714285714286,8.01648020744324
4,2,0,0.333333333333333,4.58322811126709
4,2,0,0.222222222222222,4.91655397415161
4,2,0,1,0.966645002365112
4,2,0,0.285714285714286,5.28321385383606
4,2,0,0.25,8.79980397224426
4,2,0,0.5,8.73314213752747
4,2,0,0.5,5.28321886062622
